File:        06perms.txt
Description: CSV file of upload permission to the CPAN per namespace
    best-permission is one of "m" for "modulelist", "f" for
    "first-come", "c" for "co-maint"
AI::Pathfinding::SMAstar::Path,MBEEBE,f
AI::Pathfinding::SMAstar::PriorityQueue,MBEEBE,f
AI::Pathfinding::SMAstar::TreeOfQueues,MBEEBE,f
AI::Perceptron,SPURKIS,f
AI::Prolog,DOUGW,c
AI::Prolog,JJORE,c
AI::Prolog,OVID,f
AI::Prolog::Builtins,DOUGW,c
AI::Prolog::Builtins,JJORE,c
AI::Prolog::Builtins,OVID,f
AI::Prolog::ChoicePoint,DOUGW,c
AI::Prolog::ChoicePoint,JJORE,c
AI::Prolog::ChoicePoint,OVID,f
AI::Prolog::Engine,DOUGW,c
AI::Prolog::Engine,JJORE,c
AI::Prolog::Engine,OVID,f
AI::Prolog::Engine::Primitives,DOUGW,c
AI::Prolog::Engine::Primitives,JJORE,c
AI::Prolog::Engine::Primitives,OVID,f
AI::Prolog::Introduction,DOUGW,c
AI::Prolog::Introduction,JJORE,c
AI::Prolog::Introduction,OVID,f
AI::Prolog::KnowledgeBase,DOUGW,c
AI::Prolog::KnowledgeBase,JJORE,c
AI::Prolog::KnowledgeBase,OVID,f
AI::Prolog::Parser,DOUGW,c
AI::Prolog::Parser,JJORE,c
AI::Prolog::Parser,OVID,f
AI::Prolog::Parser::PreProcessor,DOUGW,c
AI::Prolog::Parser::PreProcessor,JJORE,c
AI::Prolog::Parser::PreProcessor,OVID,f
AI::Prolog::Parser::PreProcessor::Math,DOUGW,c
AI::Prolog::Parser::PreProcessor::Math,JJORE,c
AI::Prolog::Parser::PreProcessor::Math,OVID,f
AI::Prolog::Term,DOUGW,c
AI::Prolog::Term,JJORE,c
AI::Prolog::Term,OVID,f
AI::Prolog::Term::Cut,DOUGW,c
AI::Prolog::Term::Cut,JJORE,c
AI::Prolog::Term::Cut,OVID,f
AI::Prolog::Term::Number,DOUGW,c
AI::Prolog::Term::Number,JJORE,c
AI::Prolog::Term::Number,OVID,f
AI::Prolog::TermList,DOUGW,c
AI::Prolog::TermList,JJORE,c
AI::Prolog::TermList,OVID,f
AI::Prolog::TermList::Clause,DOUGW,c
AI::Prolog::TermList::Clause,JJORE,c
AI::Prolog::TermList::Clause,OVID,f
AI::Prolog::TermList::Primitive,DOUGW,c
AI::Prolog::TermList::Primitive,JJORE,c
AI::Prolog::TermList::Primitive,OVID,f
AI::Prolog::TermList::Step,DOUGW,c
AI::Prolog::TermList::Step,JJORE,c
AI::Prolog::TermList::Step,OVID,f
AI::Proplog,TBONE,f
AI::Selector,TSCHULZ,f
AI::SemanticNetwork,TSCHULZ,f
AI::SimulatedAnnealing,BFITCH,f
AI::Tagger,TSCHULZ,f
AI::Termites,SALVA,f
AI::Termites::LoginquitasPostulo,SALVA,f
AI::Termites::NemusNidor,SALVA,f
AI::Termites::PeractioBaro,SALVA,f
AI::Termites::VicinusOccurro,SALVA,f
AI::Util,TSCHULZ,f
AI::jNeural,JETTERO,m
AI::nnflex,CCOLBOURN,f
AI::nnflex::draw,CCOLBOURN,f
AI::nnflex::layer,CCOLBOURN,f
AI::nnflex::node,CCOLBOURN,f
AI::subclust,SIMATIKA,f
AIIA::GMT,CJUKUO,f
AIS::client,DAVIDNICO,f
AIX::Devices,SLEONOV,m
AIX::LPP::lpp_name,CRITTER,f
AIX::LVM,MURUGU,m
AIX::ODM,DFRENCH,m
AIX::Perfstat,ACIDDEATH,m
AIX::SysInfo,SLEONOV,c
AIX::SysInfo,SSKLAR,f
AKDB::Okewo_de,HORSHACK,f
ALPM,JUSTER,f
ALPM::DB,JUSTER,f
ALPM::Group,JUSTER,f
ALPM::LoadConfig,JUSTER,f
ALPM::Package,JUSTER,f
ALPM::PackageFree,JUSTER,f
ALPM::Transaction,JUSTER,f
AMF::Connection,AREGGIORI,f
AMF::Connection::InputStream,AREGGIORI,f
AMF::Connection::Message,AREGGIORI,f
AMF::Connection::MessageBody,AREGGIORI,f
AMF::Connection::MessageHeader,AREGGIORI,f
AMF::Connection::OutputStream,AREGGIORI,f
AMF::Perl,SIMONF,f
AMF::Perl::App::Executive,SIMONF,f
AMF::Perl::IO::Deserializer,SIMONF,f
AMF::Perl::IO::InputStream,SIMONF,f
AMF::Perl::IO::OutputStream,SIMONF,f
AMF::Perl::IO::Serializer,SIMONF,f
AMF::Perl::Sql::MysqlRecordSet,SIMONF,f
AMF::Perl::Util::Object,SIMONF,f
AMF::Perl::Util::RemotingService,SIMONF,f
AMPR::Rip44,CJCOLLIER,f
AMSSerializer,JASHMENN,f
AMX2,JZOBEL,f
AMZ::Test,MELEZHIK,f
ANSH,MARSAB,f
ANSIColor::ToHTML,NKH,f
AO,IX,f
AO::Config::Context,IX,f
AO::Config::Server,IX,f
AO::Context,IX,f
AO::ContextManager,IX,f
AO::Cookie,IX,f
AO::Interceptor::Access,IX,f
AO::Interceptor::BaseInterceptor,IX,f
AO::Interceptor::ContextConfig,IX,f
AO::Interceptor::ContextInterceptor,IX,f
AO::Interceptor::DBIRealm,IX,f
AO::Interceptor::LoadOnStartup,IX,f
AO::Interceptor::RealmBase,IX,f
AO::Interceptor::RequestInterceptor,IX,f
AO::Interceptor::Session,IX,f
AO::Interceptor::SessionManager,IX,f
AO::Logger::BaseLogger,IX,f
AO::Logger::Syslog,IX,f
AO::Request,IX,f
AO::Response,IX,f
AO::Servlet::BaseServlet,IX,f
AO::Servlet::Mason,IX,f
AO::Session,IX,f
AO::SessionManager::BaseSessionManager,IX,f
AO::SessionManager::DBI,IX,f
AOL::SFLAP,JHARDING,f
AOL::TOC,JHARDING,f
AOLserver::CtrlPort,MSCHILLI,f
API,GAAL,f
API::Assembla,GPHAT,f
API::Assembla::Space,GPHAT,f
API::Assembla::Ticket,GPHAT,f
API::CPanel,BITTER,f
API::CPanel::Domain,BITTER,f
API::CPanel::Ip,BITTER,f
API::CPanel::Misc,BITTER,f
API::CPanel::Mysql,BITTER,f
API::CPanel::Package,BITTER,f
API::CPanel::User,BITTER,f
API::DirectAdmin,CHIPSOID,f
API::DirectAdmin::Component,CHIPSOID,f
API::DirectAdmin::DNS,CHIPSOID,f
